task,feature_set,model,label,precision,recall,f1-score,support
binary,A6_Full_CAVALRY_AI,LogisticRegression,macro avg,0.6618942807205148,0.6441860397636495,0.6426499595078055,200000.0
binary,A6_Full_CAVALRY_AI,LogisticRegression,weighted avg,0.6615701031035722,0.660835,0.6511723456630676,200000.0
binary,A6_Full_CAVALRY_AI,RandomForest,Attack,0.9998875747627828,0.9945207317618643,0.997196932322734,89428.0
binary,A6_Full_CAVALRY_AI,RandomForest,Benign,0.9955876526311997,0.9999095611908982,0.9977439266505432,110572.0
binary,A6_Full_CAVALRY_AI,RandomForest,macro avg,0.9977376136969913,0.9972151464763812,0.9974704294866386,200000.0
binary,A6_Full_CAVALRY_AI,RandomForest,weighted avg,0.9975103198131158,0.9975,0.9974993436068067,200000.0
binary,A6_Full_CAVALRY_AI,ExtraTrees,Attack,0.9999662606700631,0.9942523594399965,0.997101124225518,89428.0
binary,A6_Full_CAVALRY_AI,ExtraTrees,Benign,0.9953728293258194,0.9999728683572695,0.9976675464122172,110572.0
binary,A6_Full_CAVALRY_AI,ExtraTrees,macro avg,0.9976695449979412,0.997112613898633,0.9973843353188676,200000.0
binary,A6_Full_CAVALRY_AI,ExtraTrees,weighted avg,0.9974267362170846,0.997415,0.9974142763956565,200000.0
binary,A6_Full_CAVALRY_AI,HistGradientBoosting,Attack,0.9999437861174195,0.9945542783020977,0.99724175047933,89428.0
binary,A6_Full_CAVALRY_AI,HistGradientBoosting,Benign,0.9956147459794334,0.9999547805954491,0.9977800438576702,110572.0
binary,A6_Full_CAVALRY_AI,HistGradientBoosting,macro avg,0.9977792660484265,0.9972545294487734,0.9975108971685,200000.0
binary,A6_Full_CAVALRY_AI,HistGradientBoosting,weighted avg,0.9975504329867325,0.99754,0.9975393513564792,200000.0
binary,A7_TCPFlagsOnly,GaussianNB,Attack,0.47230765956088167,0.9924967571677774,0.6400360555255092,89428.0
binary,A7_TCPFlagsOnly,GaussianNB,Benign,0.9444444444444444,0.10316354954237962,0.18600896860986546,110572.0
binary,A7_TCPFlagsOnly,GaussianNB,macro avg,0.7083760520026631,0.5478301533550786,0.41302251206768736,200000.0
binary,A7_TCPFlagsOnly,GaussianNB,weighted avg,0.733333202451608,0.50082,0.3890226402533264,200000.0
binary,A7_TCPFlagsOnly,LogisticRegression,Attack,0.6523513011152416,0.784910766202979,0.712518017743671,89428.0
binary,A7_TCPFlagsOnly,LogisticRegression,Benign,0.7918290043290044,0.6616955467930399,0.7209368779930236,110572.0
binary,A7_TCPFlagsOnly,LogisticRegression,macro avg,0.7220901527221231,0.7233031564980095,0.7167274478683473,200000.0
binary,A7_TCPFlagsOnly,LogisticRegression,weighted avg,0.7294629441140025,0.71679,0.7171724688211282,200000.0
binary,A7_TCPFlagsOnly,RandomForest,Attack,0.6524665136037032,0.784910766202979,0.712586734616185,89428.0
binary,A7_TCPFlagsOnly,RandomForest,Benign,0.7918718012529891,0.6618673805303332,0.7210565985684094,110572.0
binary,A7_TCPFlagsOnly,RandomForest,macro avg,0.7221691574283462,0.7233890733666561,0.7168216665922973,200000.0
binary,A7_TCPFlagsOnly,RandomForest,weighted avg,0.7295381209334874,0.716885,0.7172693836008117,200000.0
binary,A7_TCPFlagsOnly,ExtraTrees,Attack,0.6524665136037032,0.784910766202979,0.712586734616185,89428.0
binary,A7_TCPFlagsOnly,ExtraTrees,Benign,0.7918718012529891,0.6618673805303332,0.7210565985684094,110572.0
binary,A7_TCPFlagsOnly,ExtraTrees,macro avg,0.7221691574283462,0.7233890733666561,0.7168216665922973,200000.0
binary,A7_TCPFlagsOnly,ExtraTrees,weighted avg,0.7295381209334874,0.716885,0.7172693836008117,200000.0
binary,A7_TCPFlagsOnly,HistGradientBoosting,Attack,0.6524665136037032,0.784910766202979,0.712586734616185,89428.0
binary,A7_TCPFlagsOnly,HistGradientBoosting,Benign,0.7918718012529891,0.6618673805303332,0.7210565985684094,110572.0
binary,A7_TCPFlagsOnly,HistGradientBoosting,macro avg,0.7221691574283462,0.7233890733666561,0.7168216665922973,200000.0
binary,A7_TCPFlagsOnly,HistGradientBoosting,weighted avg,0.7295381209334874,0.716885,0.7172693836008117,200000.0
